Company,Email,Person,Title,Notes
Tekton Dynamics,careers@tekton-dynamics.com,Hiring Team,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Scritch,team@scritchai.com,Team,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Pivot Robotics,sales@pivotrobotics.com,General inbox,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Duckie,hello@duckie.ai,Team,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Momentic,support@momentic.ai,General inbox,—,YC Winter 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Moss,contact@moss.dev,Team,—,YC Fall 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
PointOne,team@pointone.com,Team,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Andy AI,hello@with-andy.com,Team,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Maitai,sales@trymaitai.com,General inbox,—,YC Summer 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Tamarind Bio,info@tamarind.bio,Team,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
DryMerge,founders@drymerge.com,Founders,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Arini,sales@arini.ai,General inbox,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Coval,brooke@coval.dev,Team,—,YC Summer 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ellipsis,team@ellipsis.dev,Team,—,YC Winter 2024 · AI/ML/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Educato,info@educato.com,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Openbenchmarks,founders@openbenchmarks.com,Founders,—,YC Fall 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Anthrogen,founders@anthrogen.com,Founders,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Elevate,hello@useelevate.dev,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Overlap,support@overlap.ai,General inbox,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Assembly HOA,hello@assemblyhoa.com,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Clearly AI,marketing@clearly-ai.com,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Manufact,founders@manufact.com,Founders,—,YC Summer 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Arva AI,hello@arva.ai,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Anara,support@anara.com,General inbox,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
x1,founders@x1.new,Founders,—,YC Fall 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Zeit AI,contact@zeit-ai.com,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Rove,support@rove.com,General inbox,—,YC Winter 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Entangl,info@entangl.com,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Keye,contact@keye.co,Team,—,YC Fall 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Ohm,hello@ohm.ai,Team,—,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
FINNY AI,careers@finny.com,Hiring Team,—,YC Summer 2024 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Ryvn,founders@ryvn.ai,Founders,—,YC Fall 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ocular AI,sales@useocular.com,General inbox,—,YC Winter 2024 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Silurian,contact@silurian.ai,Team,—,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Spur,contact@spurtest.com,Team,—,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Respan,careers@respan.ai,Hiring Team,—,YC Winter 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Mem0,support@mem0.ai,General inbox,—,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
SuperKalam,hello@superkalam.com,Team,—,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Glass Health,contact@glass.health,Team,—,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Boundary,vbv@boundaryml.com,Team,—,YC Winter 2023 · AI/ML/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Berry,sales@berryai.com,General inbox,—,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Unsloth AI,support@unsloth.ai,General inbox,—,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Vendora,contact@vendora.io,Team,—,YC Winter 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Silimate,thomas@silimate.com,Team,—,YC Summer 2023 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
