#,Company,Email,Person,Title,City,Notes
,NextBits,career@nextbitsgroup.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nextbitsgroup.com; MX OK
,Niveus Solutions,jobs@niveussolutions.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on niveussolutions.com; MX OK
,Noora Health,people@noorahealth.org,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on noorahealth.org; MX OK
,Nextechoasis,hr@nextechoasis.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nextechoasis.com; MX OK
,N. S. Infotech Limited,hr@nsinfotech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on nsinfotech.com; MX OK
,Not mentioned,careers@ospyn.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ospyn.com; MX OK
,Not mentioned,hr@prohuman.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on prohuman.in; MX OK
,OnGrid,careers@ongrid.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ongrid.in; MX OK
,"MaxVal Group,",careers@maxval.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on maxval.com; MX OK
,NetSutra,jobs@netsutra.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on netsutra.com; MX OK
,NorthITE,jobs@northite.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on northite.com; MX OK
,Paktolus Solutions,careers@paktolus.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on paktolus.com; MX OK
,PPM,hr@ppm.co.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ppm.co.in; MX OK
,NovoTree Minds Consulting Private Limited (Open for CLIENT PARTNERSHIP),hr@novotreeminds.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on novotreeminds.com; MX OK
,Optimum Solutions,careers@theoptimum.net,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on theoptimum.net; MX OK
,Palni Inc,Jobs@palni.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on palni.com; MX OK
,Ormax Money,careers@ormaxworld.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on ormaxworld.com; MX OK
,Outline India,hr@outlineindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on outlineindia.com; MX OK
,Pink Lemonade,careers@pinklemonade.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on pinklemonade.in; MX OK
,Paycraft Solutions,hr@paycraftsol.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on paycraftsol.com; MX OK
,Pardy Panda Studios,careers@pardypanda.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on pardypanda.com; MX OK
,Primus Partners Pvt Ltd,hr@primuspartners.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on primuspartners.in; MX OK
,Privafy,jobs@privafy.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on privafy.com; MX OK
,Pentoz,jobs@pentoz.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on pentoz.com; MX OK
,Planystech,careers@planystech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on planystech.com; MX OK
,Prescient Technologies,Careers@pre-scient.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on pre-scient.com; MX OK
,Precise Testing Solution Private Limited,hr@precisetestingsolution.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on precisetestingsolution.com; MX OK
,Pranathi Software Services,careers@varundigitalmedia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on varundigitalmedia.com; MX OK
,ProBuddy Software Solutions Pvt. Ltd,hr@probuddysoftware.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on probuddysoftware.com; MX OK
,Prominent Staffing,hr@prominentstaffing.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on prominentstaffing.in; MX OK
,Probey Services,hr@probeyservices.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on probeyservices.com; MX OK
,Q3 Technologies,careers@q3tech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on q3tech.com; MX OK
,Procucev,careers@procucev.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on procucev.com; MX OK
,QualySec,career@qualysec.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on qualysec.com; MX OK
,Qcentro,hr@qcentro.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on qcentro.com; MX OK
,Queppelin,careers@queppelintech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on queppelintech.com; MX OK
,RLWRLD,apply@rlwrld.ai,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on rlwrld.ai; MX OK
,RAH Infotech,careers@rahinfotech.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on rahinfotech.com; MX OK
,RedCube Digital Media Pvt. Ltd.,hr@redcubedigital.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on redcubedigital.com; MX OK
,Resurgent India,career@resurgentindia.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on resurgentindia.com; MX OK
,RxLogix,careers@rxlogix.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on rxlogix.com; MX OK
,Responsive Media Tech Services,careers@responsivemts.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on responsivemts.com; MX OK
,Sarvika,jobs@sarvika.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on sarvika.com; MX OK
,Royal Goan Beach Club,careers@karmagroup.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on karmagroup.com; MX OK
,Rexera,careers@rexera.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on rexera.com; MX OK
,Sarvm.ai,join@sarvm.ai,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on sarvm.ai; MX OK
,Sankalp Computer and Systems Pvt. Ltd.,hr@sankalpcs.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on sankalpcs.com; MX OK
,RAM Informatics Limited,careers@raminfo.com,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on raminfo.com; MX OK
,Shadowfax,careers@shadowfax.in,HR / Talent team,HR,Other,VERIFIED careers/HR inbox on shadowfax.in; MX OK
